




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (8935)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
negative regulation of cell cycle (GO:0045786)	454	262	196.96	+	1.33	2.43E-04	9.54E-03
regulation of catabolic process (GO:0009894)	1066	615	462.48	+	1.33	1.05E-08	9.92E-07
regulation of actin filament-based process (GO:0032970)	397	229	172.24	+	1.33	5.98E-04	2.12E-02
negative regulation of biosynthetic process (GO:0009890)	1643	947	712.80	+	1.33	6.07E-13	1.09E-10
regulation of cell differentiation (GO:0045595)	1586	914	688.08	+	1.33	1.89E-12	2.96E-10
response to decreased oxygen levels (GO:0036293)	361	208	156.62	+	1.33	1.24E-03	3.89E-02
negative regulation of cell cycle process (GO:0010948)	368	212	159.65	+	1.33	1.01E-03	3.34E-02
regulation of protein transport (GO:0051223)	556	319	241.22	+	1.32	7.32E-05	3.31E-03
transcription by RNA polymerase II (GO:0006366)	382	219	165.73	+	1.32	1.04E-03	3.42E-02
regulation of cellular component size (GO:0032535)	389	223	168.76	+	1.32	9.85E-04	3.29E-02
positive regulation of cellular metabolic process (GO:0031325)	3314	1899	1437.76	+	1.32	5.21E-26	4.57E-23
regulation of actin cytoskeleton organization (GO:0032956)	358	205	155.32	+	1.32	1.61E-03	4.96E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	545	312	236.44	+	1.32	9.92E-05	4.27E-03
phosphorylation (GO:0016310)	877	502	380.48	+	1.32	6.00E-07	4.07E-05
regulation of cellular component organization (GO:0051128)	2390	1367	1036.89	+	1.32	6.50E-18	1.61E-15
regulation of cellular localization (GO:0060341)	841	481	364.86	+	1.32	1.08E-06	6.95E-05
modification-dependent macromolecule catabolic process (GO:0043632)	563	322	244.25	+	1.32	8.02E-05	3.54E-03
regulation of developmental process (GO:0050793)	2461	1407	1067.69	+	1.32	1.94E-18	5.38E-16
regulation of cell cycle phase transition (GO:1901987)	522	298	226.47	+	1.32	1.55E-04	6.39E-03
regulation of cellular component biogenesis (GO:0044087)	974	556	422.56	+	1.32	1.64E-07	1.26E-05
modification-dependent protein catabolic process (GO:0019941)	552	315	239.48	+	1.32	1.09E-04	4.64E-03
nucleic acid-templated transcription (GO:0097659)	531	303	230.37	+	1.32	1.50E-04	6.21E-03
regulation of cytoskeleton organization (GO:0051493)	526	300	228.20	+	1.31	1.63E-04	6.68E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1479	1125.82	+	1.31	4.64E-19	1.33E-16
transcription, DNA-templated (GO:0006351)	530	302	229.94	+	1.31	1.49E-04	6.17E-03
regulation of secretion (GO:0051046)	639	364	277.23	+	1.31	3.10E-05	1.53E-03
positive regulation of protein kinase activity (GO:0045860)	539	307	233.84	+	1.31	1.43E-04	5.96E-03
negative regulation of developmental process (GO:0051093)	879	500	381.35	+	1.31	1.11E-06	7.15E-05
cellular response to DNA damage stimulus (GO:0006974)	793	451	344.04	+	1.31	4.02E-06	2.34E-04
regulation of establishment of protein localization (GO:0070201)	581	330	252.06	+	1.31	8.72E-05	3.80E-03
regulation of vesicle-mediated transport (GO:0060627)	530	301	229.94	+	1.31	1.99E-04	7.98E-03
chemical synaptic transmission (GO:0007268)	414	235	179.61	+	1.31	1.01E-03	3.35E-02
anterograde trans-synaptic signaling (GO:0098916)	414	235	179.61	+	1.31	1.01E-03	3.35E-02
RNA biosynthetic process (GO:0032774)	543	308	235.58	+	1.31	1.74E-04	7.09E-03
cell population proliferation (GO:0008283)	485	275	210.41	+	1.31	4.23E-04	1.57E-02
positive regulation of cellular component organization (GO:0051130)	1161	658	503.69	+	1.31	2.59E-08	2.28E-06
cell development (GO:0048468)	1646	932	714.11	+	1.31	1.84E-11	2.45E-09
regulation of anatomical structure size (GO:0090066)	514	291	223.00	+	1.30	2.92E-04	1.13E-02
regulation of multicellular organismal development (GO:2000026)	1332	754	577.88	+	1.30	2.43E-09	2.54E-07
positive regulation of transferase activity (GO:0051347)	693	392	300.65	+	1.30	2.51E-05	1.26E-03
cellular protein catabolic process (GO:0044257)	644	364	279.39	+	1.30	5.09E-05	2.40E-03
positive regulation of kinase activity (GO:0033674)	614	347	266.38	+	1.30	8.42E-05	3.69E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	551	423.00	+	1.30	5.32E-07	3.64E-05
DNA repair (GO:0006281)	531	300	230.37	+	1.30	2.69E-04	1.04E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	344	264.21	+	1.30	9.15E-05	3.96E-03
trans-synaptic signaling (GO:0099537)	432	244	187.42	+	1.30	1.09E-03	3.54E-02
regulation of kinase activity (GO:0043549)	914	516	396.53	+	1.30	1.27E-06	8.09E-05
negative regulation of protein modification process (GO:0031400)	558	315	242.08	+	1.30	1.81E-04	7.33E-03
mitotic cell cycle process (GO:1903047)	675	381	292.84	+	1.30	3.60E-05	1.75E-03
regulation of system process (GO:0044057)	585	330	253.80	+	1.30	1.41E-04	5.87E-03
regulation of protein kinase activity (GO:0045859)	802	452	347.94	+	1.30	6.92E-06	3.85E-04
regulation of cell communication (GO:0010646)	3509	1977	1522.36	+	1.30	2.14E-24	1.47E-21
regulation of transferase activity (GO:0051338)	1033	582	448.16	+	1.30	3.31E-07	2.43E-05
regulation of signaling (GO:0023051)	3545	1997	1537.97	+	1.30	1.18E-24	8.49E-22
regulation of cell cycle (GO:0051726)	1164	655	504.99	+	1.30	5.53E-08	4.58E-06
heart development (GO:0007507)	535	301	232.11	+	1.30	3.25E-04	1.25E-02
regulation of transport (GO:0051049)	1772	996	768.77	+	1.30	1.13E-11	1.57E-09
negative regulation of phosphorus metabolic process (GO:0010563)	484	272	209.98	+	1.30	6.44E-04	2.26E-02
negative regulation of phosphate metabolic process (GO:0045936)	483	271	209.55	+	1.29	7.32E-04	2.56E-02
synaptic signaling (GO:0099536)	464	260	201.30	+	1.29	1.04E-03	3.41E-02
muscle structure development (GO:0061061)	473	265	205.21	+	1.29	8.66E-04	2.95E-02
positive regulation of transport (GO:0051050)	947	530	410.85	+	1.29	2.11E-06	1.31E-04
protein catabolic process (GO:0030163)	697	390	302.39	+	1.29	5.31E-05	2.49E-03
cellular macromolecule localization (GO:0070727)	1480	828	642.09	+	1.29	1.69E-09	1.82E-07
regulation of cellular response to stress (GO:0080135)	692	387	300.22	+	1.29	5.78E-05	2.69E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1969	1528.00	+	1.29	4.42E-23	2.06E-20
cell-cell signaling (GO:0007267)	1131	632	490.68	+	1.29	2.08E-07	1.56E-05
regulation of cell cycle process (GO:0010564)	792	442	343.60	+	1.29	1.89E-05	9.71E-04
positive regulation of cellular component biogenesis (GO:0044089)	534	298	231.67	+	1.29	4.89E-04	1.78E-02
organophosphate biosynthetic process (GO:0090407)	552	308	239.48	+	1.29	3.93E-04	1.47E-02
regulation of organelle organization (GO:0033043)	1208	674	524.08	+	1.29	8.94E-08	7.17E-06
carbohydrate derivative biosynthetic process (GO:1901137)	604	337	262.04	+	1.29	2.01E-04	8.05E-03
cellular protein localization (GO:0034613)	1470	820	637.75	+	1.29	3.07E-09	3.13E-07
regulation of localization (GO:0032879)	2753	1535	1194.37	+	1.29	3.63E-17	8.19E-15
positive regulation of protein modification process (GO:0031401)	1079	601	468.12	+	1.28	6.26E-07	4.23E-05
positive regulation of metabolic process (GO:0009893)	3820	2122	1657.28	+	1.28	4.36E-24	2.87E-21
regulation of signal transduction (GO:0009966)	3128	1737	1357.06	+	1.28	3.89E-19	1.14E-16
positive regulation of signaling (GO:0023056)	1761	977	764.00	+	1.28	1.50E-10	1.89E-08
mitotic cell cycle (GO:0000278)	750	416	325.38	+	1.28	5.40E-05	2.52E-03
protein localization (GO:0008104)	2063	1144	895.02	+	1.28	3.16E-12	4.71E-10
